time, internal, external, reference, resistor, fan
"1616418011", 35.6748, 25, 25.97, 0, 78
"1616418014", 36.2227, 25, 25.96, 0, 100
"1616418017", 36.0293, 25, 25.93, 0, 100
"1616418019", 35.6104, 25, 25.91, 0, 100
"1616418022", 34.4502, 25, 25.9, 0, 100
"1616418025", 34.3535, 25, 40, 0, 56
"1616418028", 34.5146, 25, 40, 0, 41
"1616418031", 34.1602, 25, 40, 0, 40
"1616418033", 33.709, 25, 40, 0, 40
"1616418036", 33.9023, 25, 40, 13, 0
"1616418039", 33.8379, 25, 40, 29, 0
"1616418042", 33.4834, 25, 40, 49, 0
"1616418045", 34.6436, 25, 40, 58, 0
"1616418047", 35.3525, 25, 40, 67, 0
"1616418050", 34.9336, 25, 40, 86, 0
"1616418053", 35.4492, 25, 40, 95, 0
"1616418056", 34.6113, 25, 40, 100, 0
"1616418059", 34.4824, 25, 40, 100, 0
"1616418061", 35.8682, 25, 40, 100, 0
"1616418064", 36.0293, 25, 40, 100, 0
"1616418067", 37.1572, 25, 40, 100, 0
"1616418070", 37.2539, 25, 40, 100, 0
"1616418073", 36.3838, 25, 40, 100, 0
"1616418076", 34.9014, 25, 40, 100, 0
"1616418078", 34.5146, 25, 40, 100, 0
"1616418081", 34.3213, 25, 40, 100, 0
"1616418084", 35.4492, 25, 40, 100, 0
"1616418087", 34.9336, 25, 40, 100, 0
"1616418090", 35.0303, 25, 40, 100, 0
"1616418092", 34.6758, 25, 40, 100, 0
"1616418095", 35.1914, 25, 40, 100, 0
"1616418098", 37.2539, 25, 40, 100, 0
"1616418101", 38.124, 25, 40, 100, 0
"1616418104", 38.4141, 25, 40, 100, 0
"1616418106", 39.2197, 25, 40, 100, 0
"1616418109", 40.0254, 25, 40, 97, 0
"1616418112", 40.1221, 25, 40, 99, 0
"1616418115", 38.833, 25, 40, 100, 0
"1616418118", 38.7686, 25, 40, 100, 0
"1616418121", 25, 25, 40, 100, 0
"1616418123", 39.0908, 25, 40, 100, 0
"1616418126", 39.9287, 25, 40, 100, 0
"1616418129", 39.8965, 25, 40, 99, 0
"1616418132", 40.5732, 25, 40, 94, 0
"1616418135", 40.7344, 25, 40, 93, 0
"1616418137", 40.8311, 25, 40, 91, 0
"1616418140", 41.7334, 25, 40, 79, 0
"1616418143", 42.6035, 25, 40, 71, 0
"1616418146", 42.958, 25, 40, 60, 0
"1616418149", 44.3115, 25, 40, 42, 0
"1616418151", 43.3447, 25, 40, 39, 0
"1616418154", 44.1504, 25, 40, 19, 0
"1616418157", 44.5049, 25, 40, 7, 0
"1616418160", 44.9238, 25, 40, 0, 40
"1616418163", 47.792, 25, 40, 0, 51
"1616418166", 48.3398, 25, 40, 0, 67
"1616418168", 47.5986, 25, 40, 0, 85
"1616418171", 47.5986, 25, 40, 0, 100
"1616418174", 44.4404, 25, 40, 0, 100
"1616418177", 44.9238, 25, 40, 0, 100
"1616418180", 43.9248, 25, 40, 0, 100
"1616418182", 41.9912, 25, 40, 0, 100
"1616418185", 42.4102, 25, 40, 0, 100
"1616418188", 41.2822, 25, 40, 0, 100
"1616418191", 42.3135, 25, 40, 0, 100
"1616418194", 42.2168, 25, 40, 0, 100
"1616418196", 42.1523, 25, 40, 0, 100
"1616418199", 42.5713, 25, 40, 0, 100
"1616418202", 42.6357, 25, 40, 0, 100
"1616418205", 42.6357, 25, 40, 0, 100
"1616418208", 41.959, 25, 40, 0, 100
"1616418211", 41.6367, 25, 40, 0, 100
"1616418213", 41.6045, 25, 40, 0, 100
"1616418216", 41.0889, 25, 40, 0, 100
"1616418219", 40.6377, 25, 40, 0, 100
"1616418222", 40.541, 25, 40, 0, 100
"1616418225", 40.0254, 25, 40, 0, 98
"1616418228", 39.5098, 25, 40, 0, 96
"1616418230", 40.5732, 25, 40, 0, 100
"1616418233", 40.3477, 25, 40, 0, 100
"1616418236", 39.5742, 25, 40, 0, 95
"1616418239", 38.6719, 62, 40, 0, 87
"1616418242", 37.7695, 62, 40, 0, 79
"1616418244", 37.6406, 62, 40, 0, 73
"1616418247", 37.9951, 62, 40, 0, 69
"1616418250", 37.2539, 62, 40, 0, 56
"1616418253", 36.2227, 62, 40, 0, 40
"1616418256", 35.127, 62, 40, 0, 40
"1616418258", 34.9658, 62, 40, 0, 40
"1616418261", 36.9639, 62, 40, 0, 40
"1616418264", 37.6406, 62, 40, 0, 40
"1616418267", 38.3174, 62, 40, 0, 40
"1616418270", 38.3174, 62, 40, 0, 40
"1616418273", 37.6084, 62, 40, 10, 0
"1616418275", 37.8984, 62, 40, 67, 0
"1616418278", 37.7051, 62, 40, 0, 40
"1616418281", 37.9307, 62, 40, 0, 40
"1616418284", 37.8984, 62, 40, 0, 40
"1616418287", 36.835, 62, 40, 15, 0
"1616418289", 37.3506, 62, 40, 16, 0
"1616418292", 35.4492, 62, 40, 41, 0
"1616418295", 35.127, 62, 40, 52, 0
"1616418298", 35.0947, 62, 40, 67, 0
"1616418301", 35.8037, 62, 40, 72, 0
"1616418303", 36.5771, 62, 40, 80, 0
"1616418306", 36.5771, 62, 40, 90, 0
"1616418309", 36.8994, 62, 40, 96, 0
"1616418312", 35.8359, 62, 40, 100, 0
"1616418315", 37.0605, 62, 40, 100, 0
"1616418318", 38.124, 62, 40, 100, 0
"1616418320", 38.0596, 62, 40, 100, 0
"1616418323", 37.8984, 62, 40, 100, 0
"1616418326", 37.2217, 62, 40, 100, 0
"1616418329", 37.4795, 62, 40, 100, 0
"1616418332", 37.4795, 62, 40, 100, 0
"1616418334", 37.5762, 37.5762, 40, 100, 0
"1616418337", 37.5439, 62, 40, 100, 0
"1616418340", 37.6084, 62, 40, 100, 0
"1616418343", 37.9629, 62, 40, 100, 0
"1616418346", 37.1572, 62, 40, 100, 0
"1616418348", 37.5762, 62, 40, 100, 0
"1616418351", 36.9961, 62, 40, 100, 0
"1616418354", 40.96, 62, 40, 80, 0
"1616418357", 40.0254, 62, 40, 98, 0
"1616418360", 39.252, 62, 40, 100, 0
"1616418363", 40.1543, 62, 40, 96, 0
"1616418365", 40.3154, 62, 40, 97, 0
"1616418368", 41.1533, 62, 40, 89, 0
"1616418371", 42.3457, 42.3457, 40, 75, 0
"1616418374", 42.4102, 62, 40, 73, 0
"1616418377", 42.2812, 62, 40, 67, 0
"1616418379", 42.7324, 62, 40, 56, 0
"1616418382", 42.9902, 62, 40, 88, 0
"1616418385", 43.3447, 62, 40, 9, 0
"1616418388", 43.7637, 62, 40, 0, 40
"1616418391", 44.1182, 62, 40, 0, 40
"1616418393", 44.376, 62, 40, 0, 40
"1616418396", 45.0205, 62, 40, 0, 47
"1616418399", 45.6328, 62, 40, 0, 66
"1616418402", 46.6318, 62, 40, 0, 91
"1616418405", 49.9189, 62, 40, 0, 100
"1616418407", 48.6943, 62, 40, 0, 100
"1616418410", 48.2432, 62, 40, 0, 100
"1616418413", 43.6992, 62, 40, 0, 100
"1616418416", 43.8281, 62, 40, 0, 100
"1616418419", 43.3447, 62, 40, 0, 100
"1616418422", 42.7646, 62, 40, 0, 100
"1616418424", 42.249, 62, 40, 0, 100
"1616418427", 41.6689, 62, 40, 0, 100
"1616418430", 41.4434, 62, 40, 0, 100
"1616418433", 42.5068, 62, 40, 0, 100
"1616418436", 42.3135, 62, 40, 0, 100
"1616418438", 41.7334, 62, 40, 0, 100
"1616418441", 41.4756, 62, 40, 0, 100
"1616418444", 39.9609, 62, 40, 0, 98
"1616418447", 39.6387, 62, 40, 0, 96
"1616418450", 40.7021, 62, 40, 0, 100
"1616418452", 38.7041, 62, 40, 0, 89
"1616418455", 38.3174, 62, 40, 0, 83
"1616418458", 38.1885, 62, 40, 0, 78
"1616418461", 38.7363, 62, 40, 0, 80
"1616418464", 38.4463, 62, 40, 0, 69
"1616418467", 38.9297, 62, 40, 0, 70
"1616418469", 38.833, 62, 40, 0, 66
"1616418472", 38.9941, 62, 40, 0, 64
"1616418475", 39.7998, 62, 40, 0, 67
"1616418478", 39.0586, 62, 40, 0, 60
"1616418481", 37.9629, 62, 40, 0, 51
"1616418483", 36.126, 62, 40, 0, 40
"1616418486", 35.5137, 62, 40, 0, 40
"1616418489", 35.7393, 62, 40, 0, 40
"1616418492", 36.0293, 67, 40, 3, 0
"1616418495", 35.9971, 67, 40, 13, 0
"1616418497", 36.9316, 67, 40, 17, 0
"1616418500", 37.2861, 67, 40, 22, 0
"1616418503", 36.835, 67, 40, 34, 0
"1616418506", 36.3516, 67, 40, 48, 0
"1616418509", 36.835, 67, 40, 51, 0
"1616418512", 36.3838, 36.3838, 40, 65, 0
"1616418514", 36.4805, 67, 40, 75, 0
"1616418517", 36.5449, 67, 40, 84, 0
"1616418520", 36.3838, 67, 40, 95, 0
"1616418523", 36.9639, 67, 40, 100, 0
"1616418526", 36.9316, 67, 40, 100, 0
"1616418528", 37.834, 67, 40, 100, 0
"1616418531", 37.125, 67, 40, 100, 0
"1616418534", 37.0283, 67, 40, 100, 0
"1616418537", 37.1895, 67, 40, 100, 0
"1616418540", 37.0605, 67, 40, 100, 0
"1616418542", 37.4473, 67, 40, 100, 0
"1616418545", 38.2529, 67, 40, 100, 0
"1616418548", 38.1885, 67, 40, 100, 0
"1616418551", 39.123, 67, 40, 100, 0
"1616418554", 39.3164, 67, 40, 100, 0
"1616418557", 39.123, 39.123, 40, 100, 0
"1616418559", 39.832, 67, 40, 100, 0
"1616418562", 39.8643, 67, 40, 100, 0
"1616418565", 40.0898, 67, 40, 99, 0
"1616418568", 40.9922, 67, 40, 92, 0
"1616418571", 41.54, 67, 40, 84, 0
"1616418573", 41.7012, 67, 40, 80, 0
"1616418576", 41.9268, 67, 40, 75, 0
"1616418579", 41.4111, 67, 40, 73, 0
"1616418582", 40.7666, 67, 40, 72, 0
"1616418585", 40.6699, 67, 40, 72, 0
"1616418587", 41.25, 67, 40, 62, 0
"1616418590", 41.8623, 67, 40, 55, 0
"1616418593", 42.1201, 67, 40, 49, 0
"1616418596", 42.5068, 67, 40, 41, 0
"1616418599", 44.0859, 67, 40, 19, 0
"1616418602", 43.8604, 67, 40, 14, 0
"1616418604", 43.7959, 67, 40, 3, 0
"1616418607", 43.8604, 67, 40, 0, 40
"1616418610", 43.1836, 67, 40, 0, 40
"1616418613", 43.8604, 67, 40, 0, 40
"1616418616", 43.2158, 67, 40, 0, 40
"1616418618", 43.6992, 67, 40, 0, 49
"1616418621", 43.9248, 67, 40, 0, 59
"1616418624", 44.0859, 67, 40, 0, 72
"1616418627", 44.9238, 67, 40, 0, 90
"1616418630", 43.4092, 67, 25.69, 0, 100
"1616418632", 42.9902, 67, 25.67, 0, 100
"1616418635", 42.7969, 67, 25.65, 0, 100
"1616418638", 42.6357, 67, 25.66, 0, 100
"1616418641", 42.1523, 67, 25.67, 0, 100
"1616418644", 41.959, 67, 25.67, 0, 100
"1616418647", 42.0234, 67, 25.67, 0, 100
"1616418649", 41.0566, 67, 25.68, 0, 100
"1616418652", 41.54, 67, 25.69, 0, 100
"1616418655", 41.7334, 67, 25.67, 0, 100
"1616418658", 41.4756, 67, 25.65, 0, 100
"1616418661", 40.2832, 67, 25.64, 0, 100
"1616418663", 39.6387, 67, 25.65, 0, 100
"1616418666", 38.9941, 67, 25.65, 0, 100
"1616418669", 38.7363, 67, 25.66, 0, 100
"1616418672", 38.4463, 67, 25.65, 0, 100
"1616418675", 38.5752, 67, 25.64, 0, 100
"1616418677", 40.8955, 67, 25.66, 0, 100
